INFO: main: created ego vehicle vehicle.tesla.model3 with id 24
INFO: main: waiting for 3 seconds (60 ticks)
INFO: main: created sensor.other.imu
INFO: main: waiting for 10 seconds (200 ticks)
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=4450, timestamp=42.354546, accelerometer=Vector3D(x=-0.007906, y=0.000016, z=9.809998), gyroscope=Vector3D(x=-0.000003, y=-0.001849, z=0.000003), compass=1.572275)
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=4453, timestamp=42.504546, accelerometer=Vector3D(x=4856.616699, y=-27900.173828, z=10.917978), gyroscope=Vector3D(x=-0.000002, y=-0.003410, z=0.000000), compass=1.572275)
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=4455, timestamp=42.604546, accelerometer=Vector3D(x=-122.797287, y=-0.008426, z=9.809487), gyroscope=Vector3D(x=0.000000, y=-0.003796, z=-0.000007), compass=1.572275)
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=4457, timestamp=42.704546, accelerometer=Vector3D(x=15.182898, y=0.002578, z=9.807590), gyroscope=Vector3D(x=-0.000001, y=-0.003196, z=-0.000006), compass=1.572274)
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=4459, timestamp=42.804546, accelerometer=Vector3D(x=18.924580, y=-0.000427, z=9.808424), gyroscope=Vector3D(x=0.000000, y=-0.002276, z=-0.000012), compass=1.572273)
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=4461, timestamp=42.904546, accelerometer=Vector3D(x=20.660664, y=-0.000467, z=9.803966), gyroscope=Vector3D(x=-0.000000, y=-0.001439, z=-0.000009), compass=1.572272)
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=4463, timestamp=43.004546, accelerometer=Vector3D(x=21.366953, y=0.001018, z=9.798179), gyroscope=Vector3D(x=-0.000002, y=-0.000818, z=-0.000012), compass=1.572271)
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=4465, timestamp=43.104546, accelerometer=Vector3D(x=21.353022, y=-0.020614, z=9.795665), gyroscope=Vector3D(x=-0.000085, y=0.000273, z=-0.001208), compass=1.572229)
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=4467, timestamp=43.204546, accelerometer=Vector3D(x=13.413898, y=-0.074510, z=9.837281), gyroscope=Vector3D(x=-0.000024, y=0.004042, z=-0.001893), compass=1.572059)
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=4469, timestamp=43.304546, accelerometer=Vector3D(x=-1.694685, y=-0.053161, z=9.842606), gyroscope=Vector3D(x=0.000090, y=0.005206, z=-0.000603), compass=1.571907)
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=4471, timestamp=43.404546, accelerometer=Vector3D(x=-12.178902, y=0.023560, z=9.814933), gyroscope=Vector3D(x=0.000024, y=0.005260, z=0.000316), compass=1.571910)
